SMA_12>SMA26,EMA_12>EMA26,TBR12>TBR24,VOL29>VOL87,MOM>0,RSI>70%,14 day increase
1,1,0,0,1,1,0
1,1,0,0,1,1,0
1,1,0,0,1,1,1
1,1,0,0,1,1,1
1,1,0,0,1,1,1
1,1,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,1
0,0,0,0,0,0,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
1,1,0,0,1,1,1
1,1,0,0,1,1,1
1,1,0,0,1,1,1
1,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,1,0,1,1,0
1,0,1,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,0,1,0
1,0,1,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,1,0,0,0,0
1,0,1,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,1,0,0,0,1,0
1,1,0,0,1,1,0
1,1,0,0,0,1,1
1,1,0,0,0,1,0
1,1,0,0,0,1,1
1,1,0,0,0,1,1
1,1,0,0,1,1,1
1,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,1,0,1,1,1
1,0,1,0,1,1,1
1,0,1,0,1,1,1
1,0,1,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,0,1,0
1,0,1,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,1,0,0,1,1,1
1,1,0,0,1,1,1
1,1,0,0,1,1,1
1,1,0,0,1,1,1
0,1,0,0,1,1,1
0,0,1,0,1,1,1
0,0,1,0,1,1,1
0,0,1,0,1,1,1
0,1,1,0,1,1,1
0,0,0,0,1,1,1
0,1,1,0,1,1,1
0,0,0,0,1,1,1
0,0,1,0,1,1,1
0,0,1,0,1,1,1
0,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,1,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,1,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,0
0,0,1,0,0,1,0
0,0,1,0,1,1,1
0,0,1,0,1,1,1
0,0,1,0,0,1,1
1,0,1,0,1,1,1
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,1,0,0,1,1
0,1,0,0,0,1,0
0,1,1,0,1,1,1
0,1,0,0,1,1,1
0,1,1,0,1,1,1
0,1,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,1,0
0,1,0,0,1,1,0
0,1,0,0,1,1,0
0,1,1,0,1,1,0
0,1,1,0,0,1,0
0,1,1,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,1,1
0,1,0,0,0,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,1,0,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,1,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,1,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,1,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,1,0,1,1,1
1,0,1,0,1,1,1
1,0,0,0,1,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,1,1
1,1,0,0,0,1,0
1,1,0,0,0,1,0
1,1,0,0,0,1,0
1,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,0,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,1,1
0,0,0,0,1,1,1
0,1,0,0,1,1,1
0,0,1,0,1,1,1
0,1,1,0,1,1,1
0,1,1,0,1,1,1
0,1,1,0,1,1,1
0,1,1,0,1,1,1
0,0,0,0,0,1,1
0,0,0,0,0,1,1
0,0,1,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,1,0,0,1,0
1,0,1,0,0,1,0
